,distance
1947,7527
1948,7096
1949,4614
1950,5524
1951,8074
1952,8074
1953,3157
1954,8074
1955,6190
1956,8074
1957,14446
1958,8074
1959,7527
1960,8074
1961,3641
1962,8074
1963,7877
1964,8074
1965,6190
1966,3641
1967,14325
1968,8074
1969,5659
1970,5008
1971,5091
1972,8074
1973,6583
1974,5659
1975,8074
1976,8994
1977,5524
1978,3641
1979,8074
1980,5524
1981,8074
1982,8074
1983,8074
1984,3157
1985,5091
1986,9157
1987,4338
1988,8074
1989,6906
1990,3157
1991,3157
1992,3641
1993,3157
1994,7877
1995,3157
1996,5868
1997,8074
1998,8074
1999,5659
2000,3641
2001,8074
2002,14446
2003,8074
2004,5524
2005,9157
2006,8163
2007,8074
2008,14325
2009,8074
2010,3157
2011,3157
2012,8074
2013,6583
2014,8074
2015,8074
2016,8074
2017,3641
2018,627
2019,7527
2020,8074
2021,4614
2022,8074
2023,7877
2024,8074
2025,3157
2026,5008
2027,6583
2028,8074
2029,5921
2030,14446
2031,3989
2032,3641
2033,6583
2034,8074
2035,14446
2036,9157
2037,8074
2038,9157
2039,5355
2040,7877
2041,5008
2042,5659
2043,9211
2044,7527
2045,14325
2046,7294
2047,5091
2048,8074
2049,14325
2050,8074
2051,8074
2052,8074
2053,5921
2054,7633
2055,5921
2056,6420
2057,8074
2058,8608
2059,5921
2060,8074
2061,8973
2062,5009
2063,573
2064,6190
2065,8074
2066,3641
2067,8074
2068,3157
2069,15035
2070,8074
2071,9211
2072,8973
2073,9157
2074,5008
2075,3641
2076,8074
2077,8074
2078,8074
2079,7939
2080,7467
2081,8074
2082,8074
2083,8074
2084,6583
2085,8074
2086,8074
2087,3157
2088,6837
2089,14446
2090,5921
2091,3989
2092,8074
2093,4823
2094,7877
2095,7877
2096,9157
2097,5009
2098,573
2099,8973
2100,8074
2101,9157
2102,3641
2103,6906
2104,5524
2105,14446
2106,3157
2107,5921
2108,8074
2109,8074
2110,8670
2111,8074
2112,8074
2113,3157
2114,8074
2115,5355
2116,8670
2117,8973
2118,3989
2119,8074
2120,6190
2121,8074
2122,7633
2123,8670
2124,8074
2125,5524
2126,6980
2127,8074
2128,14325
2129,5355
2130,8074
2131,3157
2132,3641
2133,3157
2134,8074
2135,8074
2136,3157
2137,8074
2138,5921
2139,8074
2140,8074
2141,5921
2142,3641
2143,8074
2144,8074
2145,7633
2146,3799
2147,8074
2148,8074
2149,6190
2150,8074
2151,3157
2152,8074
2153,0
2154,8074
2155,8074
2156,8074
2157,8074
2158,7877
2159,5868
2160,3157
2161,8074
2162,8608
2163,8074
2164,5868
2165,8074
2166,573
2167,5921
2168,14446
2169,3157
2170,6174
2171,8074
2172,9211
2173,8074
2174,5355
2175,14446
2176,5524
2177,8074
2178,7877
2179,4823
2180,3641
2181,3157
2182,9211
2183,8250
2184,7877
2185,3157
2186,3157
2187,8074
2188,8074
2189,8074
2190,8074
2191,8074
2192,5659
2193,8074
2194,9157
2195,8074
2196,8074
2197,5659
2198,5659
2199,8074
2200,5009
2201,8074
2202,3641
2203,8074
2204,5091
2205,8074
2206,8074
2207,8973
2208,8074
2209,6906
2210,8074
2211,8074
2212,8973
2213,8074
2214,4961
2215,5524
2216,8074
2217,8074
2218,5921
2219,9157
2220,6190
2221,14446
2222,8074
2223,3157
2224,8250
2225,8074
2226,8074
2227,3641
2228,3157
2229,8074
2230,8074
2231,3641
2232,3641
2233,14325
2234,5921
2235,7294
2236,14446
2237,3641
2238,14446
2239,8074
2240,15035
2241,14446
